Title,Address,Latitude,Longitude,maddress,status,geocoder
Title	Address	Latitude	Longitude	maddress	status	geocoder	Website 				
Fireside North	1790 Shattuck Ave, Berkeley, CA 94709	37.8791542	-122.3062372	1790 Shattuck Ave, Berkeley, CA 94709	Match	Google					
Ames Gallery 	2661 Cedar St, Berkeley, CA 94708	37.80032937.8689914	-122.2995424	2661 Cedar St, Berkeley, CA 94708	Match	Google					
ACCI Gallery 	1652 Shattuck Ave, Berkeley, CA 94709	37.8689914	-122.2995424,13z	1652 Shattuck Ave, Berkeley, CA 94709	Partial Match	Google					
Berkeley Art Center	1275 Walnut St, Berkeley, CA 94709	37.8689914	-122.2995424,13z	1275 Walnut St, Berkeley, CA 94709	Partial Match	Google					
Art House Gallery and Cultural Center	2905 Shattuck Ave, Berkeley, CA 94705	37.8689914	-122.2995424,13z	2905 Shattuck Ave, Berkeley, CA 94705	Match	Google	berkeleyarthouse.wordpress.com				
Expressions Gallery - Art Center | Art Classes | Artworks	2035 Ashby Ave, Berkeley, CA 94703	37.8689914	-122.2995424,13z	2035 Ashby Ave, Berkeley, CA 94703	Partial Match	Google					
Thousand Oaks Art Gallery	1749 Solano Ave, Berkeley, CA 94707	37.8689811	-122.2995425,13z	1749 Solano Ave, Berkeley, CA 94707	Match	Google					
Kala Art Gallery	2990 San Pablo Ave, Berkeley, CA 94702	37.8689811	-122.2995425,13z	1200 78th Ave, Oakland, CA 94621, USA	Match	Google					
TRICKSTER	2631 Ashby Ave, Berkeley, CA 94705	37.8689811	-122.2995425,13z	2631 Ashby Ave, Berkeley, CA 94705	Match	Google					
Trax Ceramics Gallery	1812 Fifth Street, Berkeley, CA 94710	37.8697224	-122.3346342,13z	1812 Fifth Street, Berkeley, CA 94710	Match	Google					
Shibumi Gallery 	1402 Fifth Street, Berkeley, CA 94710	37.8772064	-122.337114,13z	1402 Fifth Street, Berkeley, CA 94710	Match	Google					
Cecile Moochnek Gallery	1809 Fourth St # B, Berkeley, CA 94710	37.8697395	-122.3353344,13z	1809 Fourth St # B, Berkeley, CA 94710	Match	Google					
4th Street Fine Art 	Fourth St, Berkeley, CA 94710	37.8672095	-122.3349857,13z	Fourth St, Berkeley, CA 94710	Match	Google					
Lumbini Buddhist Art Gallery	2177 Bancroft Way, Berkeley, CA 94704	37.8689811	-122.2995425,13z	2177 Bancroft Way, Berkeley, CA 94704	Match	Google					
Center for the Arts & Religion at the GTU	2465 Le Conte Ave, Berkeley, CA 94709	37.8689811	-122.2995425,13z	2465 Le Conte Ave, Berkeley, CA 94709	Match	Google					
The UC Berkeley Art Museum and Pacific Film Archive	2155 Center St, Berkeley, CA 94720	37.8689811	-122.2995425,13z	2155 Center St, Berkeley, CA 94720	Match	Google					
Traywick Contemporary	895 Colusa Ave, Berkeley, CA 94707	37.8689811	-122.2995425,13z	895 Colusa Ave, Berkeley, CA 94707	Match	Google					
Oxtail Studio & Gallery	2976 Adeline St, Berkeley, CA 94703	37.8689811	-122.2995425,13z	2976 Adeline St, Berkeley, CA 94703	Match	Google					ogle
